Sales,Quantity,Discount,Profit
261.96,2,0,41.9136
731.94,3,0,219.582
14.62,2,0,6.8714
957.5775,5,0.45,-383.031
22.368,2,0.2,2.5164
48.86,7,0,14.1694
7.28,4,0,1.9656
907.152,6,0.2,90.7152
18.504,3,0.2,5.7825
114.9,5,0,34.47
1706.184,9,0.2,85.3092
911.424,4,0.2,68.3568
15.552,3,0.2,5.4432
407.976,3,0.2,132.5922
68.81,5,0.8,-123.858
2.544,3,0.8,-3.816
665.88,6,0,13.3176
55.5,2,0,9.99
8.56,2,0,2.4824
213.48,3,0.2,16.011
22.72,4,0.2,7.384
19.46,7,0,5.0596
60.34,7,0,15.6884
71.372,2,0.3,-1.0196
1044.63,3,0,240.2649
11.648,2,0.2,4.2224
90.57,3,0,11.7741
3083.43,7,0.5,-1665.0522
9.618,2,0.7,-7.0532
124.2,3,0.2,15.525
3.264,2,0.2,1.1016
86.304,6,0.2,9.7092
6.858,6,0.7,-5.715
15.76,2,0.2,3.546
29.472,3,0.2,9.9468
1097.544,7,0.2,123.4737
190.92,5,0.6,-147.963
113.328,9,0.2,35.415
532.3992,3,0.32,-46.9764
212.058,3,0.3,-15.147
371.168,4,0.2,41.7564
147.168,4,0.2,16.5564
77.88,2,0,3.894
95.616,2,0.2,9.5616
45.98,2,0,19.7714
17.46,2,0,8.2062
211.96,4,0,8.4784
45,3,0,4.95
21.8,2,0,6.104
38.22,6,0,17.9634
75.18,6,0,35.3346
6.16,2,0,2.9568
89.99,1,0,17.0981
15.26,7,0,6.2566
1029.95,5,0,298.6855
208.56,6,0,52.14
32.4,5,0,15.552
319.41,5,0.1,7.098
14.56,2,0,6.9888
30,2,0,3.3
48.48,4,0.2,16.362
1.68,1,0,0.84
13.98,2,0,6.1512
25.824,6,0.2,9.3612
146.73,3,0,68.9631
79.76,4,0,22.3328
213.115,5,0.3,-15.2225
1113.024,8,0.2,111.3024
167.968,4,0.2,62.988
75.88,2,0,35.6636
4.616,1,0.2,1.731
19.05,3,0,8.763
831.936,8,0.2,-114.3912
97.04,2,0.2,1.213
72.784,1,0.2,-18.196
1.248,3,0.8,-1.9344
9.708,3,0.6,-5.8248
27.24,3,0.2,2.724
19.3,5,0.6,-14.475
208.16,1,0,56.2032
16.74,3,0,8.0352
14.9,5,0,4.172
21.39,1,0,6.2031
200.984,7,0.2,62.8075
230.376,3,0.2,-48.9549
301.96,2,0,33.2156
19.99,1,0,6.7966
6.16,2,0,2.9568
158.368,7,0.2,13.8572
20.1,3,0,6.633
73.584,2,0.2,8.2782
6.48,1,0,3.1104
12.96,2,0,6.2208
53.34,3,0,16.5354
32.96,2,0,16.1504
5.682,1,0.7,-3.788
96.53,7,0,40.5426
51.312,3,0.2,17.9592
77.88,6,0,22.5852
64.624,7,0.2,22.6184
95.976,3,0.2,-10.7973
1.788,3,0.8,-3.0396
23.92,4,0,11.7208
238.896,6,0.2,-26.8758
102.36,3,0.2,-3.8385
36.882,3,0.7,-25.8174
74.112,8,0.2,17.6016
27.992,1,0.2,2.0994
3.304,1,0.2,1.0738
339.96,5,0.2,67.992
41.96,2,0,10.9096
75.96,2,0,22.788
27.24,6,0,13.3476
40.096,14,0.2,14.5348
4.72,2,0.2,1.652
23.976,3,0.2,7.4925
130.464,6,0.2,44.0316
787.53,3,0,165.3813
157.794,1,0.7,-115.7156
47.04,3,0,18.3456
30.84,4,0,13.878
226.56,6,0,63.4368
115.02,9,0,51.759
68.04,7,0,19.7316
600.558,3,0.3,-8.5794
617.7,6,0.5,-407.682
2.388,2,0.7,-1.8308
243.992,7,0.2,30.499
81.424,2,0.2,-9.1602
238.56,3,0,26.2416
59.97,5,0.4,-11.994
78.304,2,0.2,29.364
21.456,9,0.2,6.9732
20.04,3,0,9.6192
35.44,1,0,16.6568
11.52,4,0,3.456
4.02,2,0,1.9698
76.176,3,0.2,26.6616
65.88,6,0,18.4464
43.12,14,0,20.6976
82.8,2,0.2,10.35
8.82,3,0,2.3814
10.86,3,0,5.1042
143.7,3,0,68.976
839.43,3,0,218.2518
671.93,7,0,20.1579
93.888,4,0.2,12.9096
384.45,11,0,103.8015
149.97,3,0,5.9988
1951.84,8,0,585.552
171.55,5,0,80.6285
157.92,5,0.2,17.766
203.184,2,0.2,15.2388
58.38,7,0,26.271
105.52,4,0,48.5392
80.88,6,0,21.0288
6.63,3,0,1.7901
457.568,2,0.2,51.4764
14.62,2,0,6.8714
944.93,7,0,236.2325
5.98,1,0,2.691
54.384,2,0.2,1.3596
28.4,5,0,13.348
27.68,2,0.2,9.688
9.936,3,0.2,2.7324
8159.952,8,0.4,-1359.992
275.928,3,0.2,-58.6347
1740.06,9,0.3,-24.858
32.064,6,0.2,6.8136
177.98,5,0.8,-453.849
143.976,3,0.2,8.9985
20.94,3,0,9.8418
110.96,2,0,53.2608
340.144,7,0.2,21.259
52.448,2,0.8,-131.12
20.16,4,0.2,6.552
97.264,4,0.8,-243.16
396.802,7,0.3,-11.3372
15.88,5,0.2,-3.7715
3.28,1,0,1.4104
24.816,2,0.2,1.8612
408.744,7,0.2,76.6395
503.96,4,0,131.0296
149.95,5,0,41.986
29,2,0,7.25
7.16,2,0,3.4368
176.8,8,0,22.984
37.224,3,0.2,3.7224
20.016,3,0.2,6.255
899.136,4,0.2,112.392
71.76,6,0,20.0928
51.84,8,0,24.8832
626.352,3,0.2,46.9764
19.9,5,0,6.567
14.28,7,0,6.7116
7.408,2,0.2,1.2038
6.048,3,0.2,1.5876
46.26,3,0,12.0276
2.946,2,0.7,-2.2586
16.056,3,0.2,5.8203
21.744,3,0.2,6.795
